Time;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18
05_02_2023_13_36_05;32.602666666666664;87.50266666666667;0.0;37.0;61.0;92.92133333333334;92.0;89.0;0.0;0.0;58.0;67.33666666666667;97.0;94.614;94.53733333333334;76.14066666666666;75.30666666666667;84.00333333333333
05_02_2023_13_41_05;32.62133333333333;87.55866666666667;0.0;37.0;61.0;92.92466666666667;92.0;89.0;0.0;0.0;58.0;67.38266666666667;97.0;94.266;94.17733333333334;76.06733333333334;75.518;83.99666666666667
05_02_2023_13_46_05;32.57333333333333;87.59933333333333;0.0;37.0;61.0;92.97333333333333;92.0;89.0;0.0;0.0;58.0;67.41;97.0;94.48733333333334;94.34933333333333;76.10333333333334;75.426;83.996
05_02_2023_13_51_05;32.510666666666665;87.75533333333334;0.0;37.0;61.0;92.97066666666667;92.0;89.0;0.0;0.0;58.0;67.46066666666667;97.0;94.70933333333333;94.68666666666667;76.23133333333334;75.08466666666666;83.99133333333333
05_02_2023_13_56_05;32.49066666666667;88.13666666666667;0.0;37.0;61.0;92.98666666666666;92.0;89.0;0.0;0.0;58.0;67.502;97.0;94.782;94.88533333333334;76.42333333333333;74.76933333333334;83.992
05_02_2023_14_01_04;32.56666666666667;88.356;0.0;37.0;61.0;92.98266666666666;92.0;89.0;0.0;0.0;58.0;67.25466666666667;97.0;94.71933333333334;94.714;76.24266666666666;75.296;84.00933333333333
05_02_2023_14_06_04;32.49333333333333;88.61466666666666;0.0;37.0;61.0;92.99333333333334;92.0;89.0;0.0;0.0;58.0;67.198;97.0;94.86866666666667;94.946;76.32666666666667;75.544;84.026
05_02_2023_14_11_04;32.512;88.91866666666667;0.0;37.0;61.0;92.994;92.0;89.0;0.0;0.0;58.0;67.21266666666666;97.0;94.77133333333333;94.84;76.178;75.518;84.034
05_02_2023_14_16_05;32.43;89.14133333333334;0.0;37.0;61.0;92.99533333333333;92.0;89.0;0.0;0.0;58.0;67.31266666666667;97.0;94.80933333333333;94.85066666666667;76.16666666666667;75.43866666666666;84.02933333333333
05_02_2023_14_21_05;32.39666666666667;89.40066666666667;0.0;37.0;61.0;92.99933333333334;92.0;89.0;0.0;0.0;58.0;67.378;97.0;94.83266666666667;94.92733333333334;76.23;75.376;84.02533333333334
05_02_2023_14_26_05;32.732;89.34933333333333;0.0;37.0;61.0;92.99533333333333;92.0;89.0;0.0;0.0;58.0;67.37933333333334;97.0;94.864;94.856;76.14266666666667;75.49333333333334;84.01266666666666
05_02_2023_14_31_05;32.97266666666667;89.03466666666667;0.0;37.0;61.0;92.998;92.0;89.0;0.0;0.0;58.0;67.36333333333333;97.0;94.838;94.73666666666666;76.04733333333333;75.59933333333333;84.01066666666667
05_02_2023_14_36_05;32.958;89.14933333333333;0.0;37.0;61.0;92.99866666666667;92.0;89.0;0.0;0.0;58.0;67.326;97.0;94.80866666666667;94.71866666666666;76.06066666666666;75.66;84.01133333333334
05_02_2023_14_41_04;32.937333333333335;89.22866666666667;0.0;37.0;61.0;92.99933333333334;92.0;89.0;0.0;0.0;58.0;67.28066666666666;97.0;94.61933333333333;94.522;76.05066666666667;75.78;84.03066666666666
05_02_2023_14_46_04;34.15;88.41266666666667;0.0;37.0;61.0;92.97266666666667;92.0;89.0;0.0;0.0;58.0;67.13333333333334;97.0;94.71666666666667;94.654;76.04666666666667;75.81066666666666;84.02333333333333
05_02_2023_14_51_04;34.224666666666664;88.414;0.0;37.0;61.0;92.98266666666666;92.0;89.0;0.0;0.0;58.0;67.11;97.0;94.80666666666667;94.82;76.05066666666667;75.88266666666667;84.04466666666667
05_02_2023_14_56_05;33.925333333333334;88.44466666666666;0.0;37.0;61.0;92.98466666666667;92.0;89.0;0.0;0.0;58.0;67.11133333333333;97.0;94.436;94.31333333333333;76.01266666666666;75.92;84.04066666666667
05_02_2023_15_01_05;33.781333333333336;88.50466666666667;0.0;37.0;61.0;92.986;92.0;89.0;0.0;0.0;58.0;67.166;97.0;94.126;94.05933333333333;76.00266666666667;75.93;84.03133333333334
05_02_2023_15_06_05;33.87733333333333;88.52066666666667;0.0;37.0;61.0;92.98533333333333;92.0;89.0;0.0;0.0;58.0;67.20933333333333;97.0;94.68333333333334;94.58933333333333;76.02733333333333;75.828;84.024
05_02_2023_15_11_05;33.95666666666666;88.59533333333333;0.0;37.0;61.0;92.97533333333334;92.0;89.0;0.0;0.0;58.0;67.14333333333333;97.0;94.14266666666667;94.084;76.00533333333334;75.92933333333333;84.034
05_02_2023_15_16_05;33.687333333333335;88.80333333333333;0.0;37.0;61.0;92.98333333333333;92.0;89.0;0.0;0.0;58.0;67.16533333333334;97.0;94.26733333333334;94.17933333333333;76.00333333333333;75.90133333333333;84.03866666666667
05_02_2023_15_21_04;33.776;88.69733333333333;0.0;37.0;61.0;92.98533333333333;92.0;89.0;0.0;0.0;58.0;67.12133333333334;97.0;94.22266666666667;94.16133333333333;76.01066666666667;75.89866666666667;84.04
05_02_2023_15_26_04;33.64266666666666;88.784;0.0;37.0;61.0;92.99066666666667;92.0;89.0;0.0;0.0;58.0;67.13466666666666;97.0;94.006;94.00266666666667;76.00266666666667;75.946;84.05133333333333
05_02_2023_15_31_04;33.454;88.75666666666666;0.0;37.0;61.0;92.99266666666666;92.0;89.0;0.0;0.0;58.0;67.11933333333333;97.0;94.00533333333334;94.002;76.00466666666667;75.95266666666667;84.054
